"mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","isotopes","adduct","pcgroup"
954.612753369642,954.6083984375,954.617858886719,115.5830028,112.8149988,121.4480064,2999.49052946666,2974.07111819999,1118,80,1,"","","1"
954.959261521761,954.953002929688,954.965698242188,115.5830028,113.7180018,121.4480064,3029.6786779125,2999.56961981652,1022,43,1,"","","1"
955.946091499688,955.939819335938,955.952453613281,115.5830028,112.8149988,121.4480064,5338.55597753332,5279.80356469999,1804,57,1,"","","1"
956.284657886704,956.281494140625,956.287841796875,115.5830028,112.8149988,121.4480064,3062.79925186666,3053.54960086666,872.5,102,1,"","","1"
960.571902106427,960.570617675781,960.576965332031,115.5830028,113.7180018,121.4480064,1242.59823945,1217.23416185625,543,47,1,"","","1"
962.575817500113,962.569580078125,962.575927734375,115.5830028,111.0730002,120.4030038,1330.92501354,1323.46101066,346,243,1,"","","1"
962.598258884928,962.588623046875,962.601318359375,115.5830028,111.0730002,121.4480064,2321.17184165455,2296.46383175942,637.5,58,1,"","","1"
965.937371219756,965.93115234375,965.937561035156,115.5830028,111.0730002,117.9210018,157422.2887809,157193.003013043,52674.5,739,1,"[1][M]3+","","1"
965.93772264895,965.937561035156,965.943908691406,115.5830028,111.0730002,117.9210018,156826.9406418,156718.350902143,52674.5,1659,1,"","","1"
966.268310546875,966.268310546875,966.268310546875,115.5830028,111.0730002,117.9210018,296324.5852347,296080.136034729,98863,970,1,"[1][M+1]3+","","1"
966.60528870855,966.59912109375,966.605812104499,115.5830028,111.0730002,117.9210018,594929.5550022,594709.22055072,199465.5,2335,1,"[1][M+2]3+","","1"
966.936343632488,966.936340332031,966.942687988281,115.5830028,111.0730002,117.9210018,687134.0445453,686031.394001957,237144.5,663,1,"[1][M+3]3+","","1"
967.268319620327,967.267272949219,967.273620605469,115.5830028,111.0730002,117.9210018,625088.1540486,624905.826006,217617.5,2435,1,"[1][M+4]3+","","1"
967.60444004334,967.598266601562,967.604614257812,115.5830028,111.0730002,117.9210018,428197.8360462,427774.360518686,146827.5,1493,1,"[1][M+5]3+","","1"
967.935668945312,967.935668945312,967.935668945312,115.5830028,113.7180018,117.9210018,247556.2797,247478.043857143,88506,1578,1,"[1][M+6]3+","","1"
968.266989323076,968.266784667969,968.273132324219,115.5830028,111.0730002,117.9210018,126037.469448,125885.345983886,42865.5,793,1,"[1][M+7]3+","","1"
968.60258138882,968.591552734375,968.604309082031,115.5830028,111.0730002,121.4480064,57611.9378374091,57011.0632900208,17234.5,113,1,"[1][M+8]3+","","1"
969.265197877642,969.260437011719,969.266784667969,115.5830028,112.8149988,120.4030038,6253.93887093748,6217.15059669641,1753,51,1,"[1][M+10]3+","","1"
969.598494144633,969.591735839844,969.6044921875,115.5830028,111.0730002,117.9210018,1713.7124004,1703.99068384286,784,78,1,"[1][M+11]3+","","1"
969.607649797486,969.6044921875,969.614074707031,115.5830028,111.0730002,117.9210018,1699.5883971,1689.86668054286,581.5,58,1,"","","1"
969.637772767257,969.636352539062,969.642761230469,115.5830028,111.0730002,117.9210018,1209.5282826,1199.89828035,413,41,1,"","","1"
973.255522713542,973.252868652344,973.25927734375,115.5830028,110.202999,117.9210018,3280.57996793333,3223.33811383333,942.5,39,1,"","","1"
974.59911794131,974.594055175781,974.600402832031,115.5830028,110.202999,117.9210018,9149.26354146666,8837.97076186666,2473,35,1,"","","1"
1087.54589025797,1087.54272460938,1087.55615234375,116.6659998,112.8149988,122.4859998,2887.76089859999,2848.24795165714,1060,52,1,"[39][M]2+","","1"
1087.80092861249,1087.79235839844,1087.80590820312,115.5830028,112.8149988,121.4480064,2891.09832293333,2880.20428953333,1122,112,1,"","","1"
1088.05384319261,1088.04895019531,1088.0556640625,115.5830028,112.8149988,121.4480064,2551.53335733333,2510.0469597,674.5,28,1,"[39][M+1]2+","","1"
1088.79134022998,1088.78479003906,1088.79833984375,115.5830028,112.8149988,121.4480064,1210.53951013333,1204.78417173333,423.5,124,1,"","","1"
1093.27990722656,1093.27990722656,1093.27990722656,116.6659998,113.7180018,117.9210018,701.901000000001,698.5386,246.5,246,1,"","","1"
1143.25339455954,1143.2470703125,1143.26098632812,115.5830028,110.202999,121.4480064,12170.8463426,11682.9937447732,4419,46,1,"[7][M]+","","1"
1144.25339638315,1144.25061035156,1144.25756835938,115.5830028,111.9409992,121.4480064,4329.01572851999,4262.05923495428,1326,59,1,"[7][M+1]+","","1"
1145.2551726666,1145.24768066406,1145.26159667969,115.5830028,111.0730002,121.4480064,7745.88531068182,7568.29754221948,2538,65,1,"[7][M+2]+","","1"
1146.25761461376,1146.25207519531,1146.25903320312,116.6659998,112.8149988,121.4480064,2987.50024113333,2939.60760373333,1293,57,1,"[7][M+3]+","","1"
1305.30362121509,1305.29089355469,1305.3056640625,115.5830028,111.0730002,117.9210018,109701.5616312,109259.131813543,38532,350,1,"[4][M]+","","1"
1306.30941137833,1306.30407714844,1306.31140136719,115.5830028,112.8149988,120.4030038,65150.6109299998,64506.5112555802,20291,52,1,"[4][M+1]+","","1"
1307.30249758313,1307.29541015625,1307.302734375,115.5830028,111.0730002,117.9210018,95914.3944099001,95564.2903281,33792.5,319,1,"","","1"
1307.30297163478,1307.302734375,1307.31018066406,115.5830028,111.0730002,117.9210018,96000.8504301001,94876.3718816572,33792.5,102,1,"[4][M+2]+","","1"
